checked,firm_name,name,fund_stage,filer_status,total_filings,filing_date,cik,filing_url
,Legend Capital Ventures II,"Legend Capital Ventures II, LLC",No fund #,first_filer,1,2026-03-31,0002084210,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002084210&type=D
,eGateway Capital II-13,"eGateway Capital II-13, LLC",No fund #,first_filer,1,2026-03-31,0002075008,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002075008&type=D
,Interwoven Ventures S1,Interwoven Ventures S1 LP,No fund #,first_filer,1,2026-03-30,0002078125,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002078125&type=D
,Azolla Ventures Full-Cycle,"Azolla Ventures Full-Cycle Fund II, LP",Fund II,first_filer,1,2026-03-30,0002117034,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002117034&type=D
,Cultura Liquida Ventures,Cultura Liquida Ventures LLC,No fund #,first_filer,1,2026-03-30,0002125358,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002125358&type=D
,Azolla Ventures Catalytic,"Azolla Ventures Catalytic Fund II, LP",Fund II,first_filer,1,2026-03-30,0002116903,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002116903&type=D
,NewMont Ventures,"NewMont Ventures Fund I, LP",Fund I,first_filer,1,2026-03-30,0002111205,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002111205&type=D
,AVSF - Sygaldry 2026,"AVSF - Sygaldry 2026, LLC",No fund #,first_filer,1,2026-03-30,0002119926,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002119926&type=D
,AVSF - NodaAI 2026,"AVSF - NodaAI 2026, LLC",No fund #,first_filer,2,2026-03-30,0002118478,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118478&type=D
,AVSF - GatikAI 2026,"AVSF - GatikAI 2026, LLC",No fund #,first_filer,1,2026-03-30,0002118685,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118685&type=D
,Alpha Ascent Oxyopia,Alpha Ascent Oxyopia LLC,No fund #,first_filer,1,2026-03-30,0002104437,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002104437&type=D
,Panga Capital Venture,"Panga Capital Venture Fund II, L.P.",Fund II,first_filer,1,2026-03-30,0002100600,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002100600&type=D
,Conviction Partners Select I,"Conviction Partners Select I, L.P.",No fund #,first_filer,2,2026-03-30,0002121684,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002121684&type=D
,Hannah Grey Ventures II,"Hannah Grey Ventures II, LP",No fund #,first_filer,1,2026-03-27,0002104935,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002104935&type=D
,1EP Ventures I (Cayman),"1EP Ventures I (Cayman), L.P.",No fund #,first_filer,1,2026-03-27,0002124459,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002124459&type=D
,Liquid 2 Ventures Fund Series-04,"Liquid 2 Ventures Fund Series-04, L.P.",No fund #,first_filer,1,2026-03-27,0002116175,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002116175&type=D
,WILD TREE VENTURES,"WILD TREE VENTURES, L.P.",No fund #,first_filer,1,2026-03-27,0002124548,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002124548&type=D
,aPriori 4 Ventures Ltd,aPriori 4 Ventures Ltd,No fund #,first_filer,1,2026-03-27,0002105084,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002105084&type=D
,137 Holdings ISI,"137 Holdings ISI, LLC",No fund #,first_filer,1,2026-03-27,0002124556,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002124556&type=D
,BH Venture Partners LLC - Series Jet Zero,BH Venture Partners LLC - Series Jet Zero,No fund #,first_filer,1,2026-03-27,0002124697,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002124697&type=D
,Companyon Ventures,"Companyon Ventures Fund 2026, L.P.",No fund #,first_filer,1,2026-03-26,0002108544,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002108544&type=D
,Alpine Space Ventures,"Alpine Space Ventures Fund II Feeder, L.P.",Fund II,first_filer,1,2026-03-26,0002114800,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002114800&type=D
,Batch Ventures YC 2026,"Batch Ventures YC 2026, LP",No fund #,first_filer,1,2026-03-26,0002124278,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002124278&type=D
,Run Ventures II CIV-B,"Run Ventures II CIV-B, L.P.",No fund #,first_filer,1,2026-03-26,0002085114,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002085114&type=D
,SHIFT Protocol Mikami Ventures Ltd,SHIFT Protocol Mikami Ventures Ltd,No fund #,first_filer,1,2026-03-26,0002121014,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002121014&type=D
,Inflection Ventures CHAOS,Inflection Ventures CHAOS Fund I LLC,Fund I,first_filer,1,2026-03-26,0002123173,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002123173&type=D
,Vast Red Beard Ventures Ltd,Vast Red Beard Ventures Ltd,No fund #,first_filer,1,2026-03-26,0002121016,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002121016&type=D
,CapStack Ventures Fund,CapStack Ventures Fund LLC,No fund #,first_filer,1,2026-03-26,0002124373,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002124373&type=D
,GOAT Farm Enterprises,GOAT Farm Enterprises LLC,No fund #,first_filer,1,2026-03-26,0002123726,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002123726&type=D
,BC Project P 2026,"BC Project P 2026, LP",No fund #,first_filer,1,2026-03-26,0002123742,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002123742&type=D
,Alpha Excel Associates LLC - Series I,Alpha Excel Associates LLC - Series I,No fund #,first_filer,1,2026-03-26,0002124461,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002124461&type=D
,WCM Partners Bluebird Parallel,"WCM Partners Bluebird Parallel, LP",No fund #,first_filer,1,2026-03-26,0002124705,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002124705&type=D
,Veriten Venture,Veriten Venture Fund II LP,Fund II,first_filer,1,2026-03-26,0002114871,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002114871&type=D
,Conviction Partners Expansion II,"Conviction Partners Expansion II, L.P.",No fund #,first_filer,1,2026-03-25,0002121685,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002121685&type=D
,GEX Ventures,"GEX Ventures Fund II-A, LP",Fund II,first_filer,1,2026-03-24,0002122243,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002122243&type=D
,BCF-Tensormesh,BCF-Tensormesh LLC,No fund #,first_filer,1,2026-03-24,0002123758,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002123758&type=D
,QBIT Ventures,QBIT Ventures Fund II LP,Fund II,first_filer,1,2026-03-23,0002085273,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002085273&type=D
,AVSF - TC Lab 2026,"AVSF - TC Lab 2026, LLC",No fund #,first_filer,1,2026-03-23,0002115998,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002115998&type=D
,AVSF - Scout 2026,"AVSF - Scout 2026, LLC",No fund #,first_filer,1,2026-03-23,0002118881,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118881&type=D
,AVSF - Zenskar 2026,"AVSF - Zenskar 2026, LLC",No fund #,first_filer,1,2026-03-23,0002118428,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118428&type=D
,Nearingpoint Venture Partners,Nearingpoint Venture Partners Inc.,No fund #,first_filer,1,2026-03-23,0002103907,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002103907&type=D
,Soma Capital Opportunity,"Soma Capital Opportunity Fund II, LP",Fund II,first_filer,1,2026-03-23,0002097620,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002097620&type=D
,Tale Venture Partners,"Tale Venture Partners Fund II, LP",Fund II,first_filer,2,2026-03-20,0002112821,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002112821&type=D
,StepStone VC 2026-KA,StepStone VC 2026-KA LP,No fund #,first_filer,1,2026-03-20,0002107395,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002107395&type=D
,Oncology Ventures,Oncology Ventures Fund II LP,Fund II,first_filer,1,2026-03-19,0002111766,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002111766&type=D
,Oncology Ventures,Oncology Ventures Fund II-A LP,Fund II,first_filer,1,2026-03-19,0002111779,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002111779&type=D
,AUGUREY VENTURES QP FUND,"AUGUREY VENTURES QP FUND, LLC",No fund #,first_filer,1,2026-03-19,0002117563,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002117563&type=D
,Primordial Ventures,"Primordial Ventures Fund I, LP",Fund I,first_filer,1,2026-03-19,0002107642,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002107642&type=D
,Socratic Eridu Holdings,Socratic Eridu Holdings LLC,No fund #,first_filer,1,2026-03-19,0002115299,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002115299&type=D
,Bow River Venture Evergreen Fund,"Bow River Venture Evergreen Fund, LP",No fund #,first_filer,1,2026-03-19,0002118876,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118876&type=D
,WAGMI 190 - WAGMI Master,WAGMI 190 - WAGMI Master LLC,No fund #,first_filer,1,2026-03-18,0002121687,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002121687&type=D
,Armra Capital Partners Bridge,"Armra Capital Partners Bridge, LP",No fund #,first_filer,1,2026-03-18,0002120368,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002120368&type=D
,TVC XL - The Venture Collective Holdings,TVC XL - The Venture Collective Holdings LLC,No fund #,first_filer,1,2026-03-18,0002116577,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002116577&type=D
,Kearney Ventures Cayman Feeder II,Kearney Ventures Cayman Feeder II L.P.,No fund #,first_filer,2,2026-03-16,0002078432,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002078432&type=D
,Kearney Ventures II,Kearney Ventures II L.P.,No fund #,first_filer,2,2026-03-16,0002078431,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002078431&type=D
,AVSF - Zus Health 2026,"AVSF - Zus Health 2026, LLC",No fund #,first_filer,1,2026-03-16,0002110371,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002110371&type=D
,AVSF - Atom Computing 2026,"AVSF - Atom Computing 2026, LLC",No fund #,first_filer,1,2026-03-16,0002110373,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002110373&type=D
,HLV Disruptive AI,HLV Disruptive AI Fund II LLC,Fund II,first_filer,1,2026-03-16,0002108498,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002108498&type=D
,Project Ventures US Feeder,Project Ventures US Feeder LP,No fund #,first_filer,1,2026-03-13,0002109327,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002109327&type=D
,Interwoven Ventures S2,Interwoven Ventures S2 LLC,No fund #,first_filer,1,2026-03-13,0002118856,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118856&type=D
,HOPE Ventures II,"HOPE Ventures II, LLC",No fund #,first_filer,1,2026-03-13,0002111277,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002111277&type=D
,Liquid 2 Ventures Fund Series-05,"Liquid 2 Ventures Fund Series-05, L.P.",No fund #,first_filer,1,2026-03-13,0002116964,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002116964&type=D
,49 Palms Ventures,"49 Palms Ventures Fund 1, LP",Fund I,first_filer,2,2026-03-13,0002086463,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002086463&type=D
,AV Foundation Fund June 2026,"AV Foundation Fund June 2026, LLC",No fund #,first_filer,1,2026-03-13,0002109747,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002109747&type=D
,Shakti Venture Capital Gatik,"Shakti Venture Capital Gatik, LLC",No fund #,first_filer,1,2026-03-13,0002118861,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118861&type=D
,JM Equity Venture LLC - Ripple Equity Partners,JM Equity Venture LLC - Ripple Equity Partners LLC,No fund #,first_filer,1,2026-03-13,0002109191,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002109191&type=D
,JM Equity Venture LLC - Ripple PE 2,JM Equity Venture LLC - Ripple PE 2 LLC,No fund #,first_filer,1,2026-03-13,0002109128,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002109128&type=D
,JM Equity Venture - Ripple 11,JM Equity Venture - Ripple 11 LLC,No fund #,first_filer,1,2026-03-13,0002109111,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002109111&type=D
,JM Equity Venture LLC - Ripple PE 8,JM Equity Venture LLC - Ripple PE 8,No fund #,first_filer,1,2026-03-13,0002109127,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002109127&type=D
,JM Equity Venture LLC - Ripple PE 3,JM Equity Venture LLC - Ripple PE 3 LLC,No fund #,first_filer,1,2026-03-13,0002109119,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002109119&type=D
,922 Ventures Proaxis I,922 Ventures Proaxis I LP,No fund #,first_filer,1,2026-03-12,0002116539,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002116539&type=D
,Corsair Venture Partners,"Corsair Venture Partners Fund I, L.P.",Fund I,first_filer,1,2026-03-12,0002115717,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002115717&type=D
,March EXP I,March EXP I LP,No fund #,first_filer,1,2026-03-12,0002116552,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002116552&type=D
,NOBLQ Ventures,NOBLQ Ventures Fund I LP,Fund I,first_filer,1,2026-03-11,0002105102,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002105102&type=D
,SaaS Ventures Israel,SaaS Ventures Israel LP,No fund #,first_filer,1,2026-03-11,0002118515,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118515&type=D
,Atrum Ventures 6,"Atrum Ventures 6, LP",No fund #,first_filer,1,2026-03-11,0002118694,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118694&type=D
,Atrum Ventures 8,Atrum Ventures 8 LLC,No fund #,first_filer,1,2026-03-11,0002118695,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118695&type=D
,K5 Tech,"K5 Tech Fund I, LP - Ventures III-B",Fund I,first_filer,1,2026-03-11,0002111829,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002111829&type=D
,Breakout Ventures III-B,"Breakout Ventures III-B, L.P.",No fund #,first_filer,1,2026-03-10,0002072265,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002072265&type=D
,Carnrite Ventures Opportunity,"Carnrite Ventures Opportunity Fund I, L.P.",Fund I,first_filer,1,2026-03-10,0002092870,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002092870&type=D
,"MF Ventures Fund, LP - A1","MF Ventures Fund, LP - A1",No fund #,first_filer,1,2026-03-10,0002110704,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002110704&type=D
,Heartland Ventures S12,Heartland Ventures S12 LLC,No fund #,first_filer,1,2026-03-09,0002080940,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002080940&type=D
,Heartland Ventures S6,Heartland Ventures S6 LLC,No fund #,first_filer,1,2026-03-09,0002080942,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002080942&type=D
,Heartland Ventures S7,Heartland Ventures S7 LLC,No fund #,first_filer,1,2026-03-09,0002080941,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002080941&type=D
,"American Ventures LLC, Series XXIV XWELL","American Ventures LLC, Series XXIV XWELL",No fund #,first_filer,2,2026-03-09,0002112711,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002112711&type=D
,Switch Ventures Growth IV-A,"Switch Ventures Growth IV-A, LP",No fund #,first_filer,1,2026-03-09,0002117649,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002117649&type=D
,Bay Park Ventures,Bay Park Ventures LLC,No fund #,first_filer,1,2026-03-09,0002094275,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002094275&type=D
,Virtue Expansion,Virtue Expansion Fund I LP,Fund I,first_filer,1,2026-03-09,0002113494,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002113494&type=D
,Fifth Era AI Access,"Fifth Era AI Access Fund I, LP",Fund I,first_filer,1,2026-03-09,0002115987,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002115987&type=D
,Fontinalis Special Opportunity Fund VF,"Fontinalis Special Opportunity Fund VF, L.P.",No fund #,first_filer,1,2026-03-09,0002106355,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002106355&type=D
,AXV II,"AXV II, LP",No fund #,first_filer,1,2026-03-09,0002114666,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002114666&type=D
,AVSF - Deepgram 2026,"AVSF - Deepgram 2026, LLC",No fund #,first_filer,1,2026-03-06,0002110372,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002110372&type=D
,Predictive Venture Partners,"Predictive Venture Partners Fund II, LP",Fund II,first_filer,1,2026-03-06,0002103009,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002103009&type=D
,Timeless Partners Ventures II,"Timeless Partners Ventures II, LP",No fund #,first_filer,1,2026-03-05,0002112529,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002112529&type=D
,Virta Ventures II,"Virta Ventures II, LP",No fund #,first_filer,1,2026-03-05,0002116547,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002116547&type=D
,Singular Ventures III,Singular Ventures III,No fund #,first_filer,1,2026-03-05,0002114536,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002114536&type=D
,Lightspeed Faction,"Lightspeed Faction Fund II, LP",Fund II,first_filer,1,2026-03-05,0002098001,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002098001&type=D
,Lightspeed Faction Principals,"Lightspeed Faction Principals Fund II, LP",Fund II,first_filer,1,2026-03-05,0002098089,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002098089&type=D
,Lightspeed Faction,"Lightspeed Faction Fund II US Feeder, LP",Fund II,first_filer,1,2026-03-05,0002098009,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002098009&type=D
,Birthmark Ventures,"Birthmark Ventures Fund I, LP",Fund I,first_filer,1,2026-03-04,0002113087,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002113087&type=D
,Daybreak Ventures,Daybreak Ventures Fund 2-A LP,Fund II,first_filer,1,2026-03-04,0002115656,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002115656&type=D
,Daybreak Ventures,Daybreak Ventures Fund 2 LP,Fund II,first_filer,1,2026-03-04,0002115619,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002115619&type=D
,Atlas Equity Ventures,Atlas Equity Ventures LLC,No fund #,first_filer,1,2026-03-04,0002112653,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002112653&type=D
,Northcenter Ventures,Northcenter Ventures LLC,No fund #,first_filer,1,2026-03-04,0002114592,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002114592&type=D
,Daybreak Meridian 1,Daybreak Meridian 1 LP,No fund #,first_filer,1,2026-03-04,0002115601,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002115601&type=D
,941 W Hamilton St,"941 W Hamilton St, LLC",No fund #,first_filer,1,2026-03-04,0002111979,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002111979&type=D
,NV SandboxAQ Series F Partners,NV SandboxAQ Series F Partners LLC,No fund #,first_filer,1,2026-03-04,0002108663,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002108663&type=D
,LAB Red Beard Ventures Ltd,LAB Red Beard Ventures Ltd,No fund #,first_filer,1,2026-03-03,0002105207,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002105207&type=D
,Beamable Red Beard Ventures Ltd,Beamable Red Beard Ventures Ltd,No fund #,first_filer,1,2026-03-03,0002105183,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002105183&type=D
,"Boardman Bay Ventures, LP - Series Q","Boardman Bay Ventures, LP - Series Q",No fund #,first_filer,2,2026-03-03,0002104609,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002104609&type=D
,Helios DGMX Partners,"Helios DGMX Partners, LLC",No fund #,first_filer,1,2026-03-03,0002115534,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002115534&type=D
,Moontower VC,"Moontower VC Fund I, LP",Fund I,first_filer,1,2026-03-03,0002113200,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002113200&type=D
,Selkirk Copper Mines,Selkirk Copper Mines Inc.,No fund #,new_filer,4,2026-05-14,0002032320,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002032320&type=D
,Balerion Space Ventures,"Balerion Space Ventures Fund II (Onshore Parallel), L.P.",Fund II,new_filer,5,2026-03-19,0002049165,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002049165&type=D
,Balerion Space Ventures,"Balerion Space Ventures Fund II, L.P.",Fund II,new_filer,5,2026-03-19,0002049512,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002049512&type=D
,Pardus Ventures,Pardus Ventures Inc.,No fund #,new_filer,3,2026-03-17,0002118786,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002118786&type=D
,AVSF - Orion Security 2026,"AVSF - Orion Security 2026, LLC",No fund #,new_filer,3,2026-03-09,0002110374,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002110374&type=D
,Mav Automation Ventures,Mav Automation Ventures Inc.,No fund #,new_filer,3,2026-03-06,0002074193,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002074193&type=D
,Saga Ventures Epona,"Saga Ventures Epona, LP",No fund #,unknown,0,2026-04-13,0002128228,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002128228&type=D
,Mirae Asset Gaia,"Mirae Asset Gaia Fund II, LP",Fund II,unknown,0,2026-03-17,0002119924,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002119924&type=D
,SVCV Group,SVCV Group Inc,No fund #,established,8,2026-05-20,0002113098,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002113098&type=D
,Toro Silver Corp.,Toro Silver Corp.,No fund #,established,6,2026-04-16,0002080708,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002080708&type=D
,U.S. Boston Growth Capital QSBS Fund,"U.S. Boston Growth Capital QSBS Fund, LP",No fund #,established,8,2026-04-02,0002037893,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0002037893&type=D
